Name,Team_to,League_to,Season,Transfer_fee
Luís Figo,Real Madrid,La Liga,2000-2001,60000000
Hernán Crespo,Lazio,Serie A,2000-2001,56810000
Marc Overmars,FC Barcelona,La Liga,2000-2001,40000000
Gabriel Batistuta,AS Roma,Serie A,2000-2001,36150000
Nicolas Anelka,Paris SG,Ligue 1,2000-2001,34500000
Rio Ferdinand,Leeds,Premier League,2000-2001,26000000
Flávio Conceicao,Real Madrid,La Liga,2000-2001,25000000
Savo Milosevic,Parma,Serie A,2000-2001,25000000
David Trézéguet,Juventus,Serie A,2000-2001,23240000
Claudio López,Lazio,Serie A,2000-2001,23000000
Jimmy Floyd Hasselbaink,Chelsea,Premier League,2000-2001,22500000
Gerard López,FC Barcelona,La Liga,2000-2001,21600000
Lucas,Stade Rennais,Ligue 1,2000-2001,21300000
Pablo Aimar,Valencia CF,La Liga,2000-2001,21250000
Wálter Samuel,AS Roma,Serie A,2000-2001,20800000
Shabani Nonda,Monaco,Ligue 1,2000-2001,20000000
Robbie Keane,Inter,Serie A,2000-2001,19500000
José Mari,AC Milan,Serie A,2000-2001,19000000
Jonathan Zebina,AS Roma,Serie A,2000-2001,18400000
Émerson,AS Roma,Serie A,2000-2001,18000000
Sergiy Rebrov,Spurs,Premier League,2000-2001,18000000
Angelo Peruzzi,Lazio,Serie A,2000-2001,17900000
Diego Tristán,Dep. La Coruña,La Liga,2000-2001,17750000
Sylvain Wiltord,Arsenal,Premier League,2000-2001,17500000
Fernando Redondo,AC Milan,Serie A,2000-2001,17500000
Nuno Gomes,Fiorentina,Serie A,2000-2001,17000000
Sérgio Conceição,Parma,Serie A,2000-2001,17000000
Alfonso,FC Barcelona,La Liga,2000-2001,16500000
Francisco Farinós,Inter,Serie A,2000-2001,16250000
Kakhaber Kaladze,AC Milan,Serie A,2000-2001,16000000
Francis Jeffers,Arsenal,Premier League,2000-2001,15300000
Emmanuel Petit,FC Barcelona,La Liga,2000-2001,15000000
Tomás Rosicky,Bor. Dortmund,Bundesliga,2000-2001,14500000
Catanha,Celta de Vigo,La Liga,2000-2001,14420000
Juan Pablo Ángel,Aston Villa,Premier League,2000-2001,14400000
Claude Makélélé,Real Madrid,La Liga,2000-2001,14000000
