League,Team,Transfer Sum
Bundesliga,1. FC Köln,250000
Bundesliga,1.FC Union Berlin,13900000
Bundesliga,1.FSV Mainz 05,6600000
Bundesliga,Arminia Bielefeld,8000000
Bundesliga,Bayer 04 Leverkusen,52850000
Bundesliga,Bayern Munich,57500000
Bundesliga,Borussia Dortmund,45000000
Bundesliga,Borussia Mönchengladbach,11500000
Bundesliga,Eintracht Frankfurt,7850000
Bundesliga,FC Augsburg,7700000
Bundesliga,Hertha BSC,25600000
Bundesliga,RB Leipzig,107620000
Bundesliga,SC Freiburg,5000000
Bundesliga,SpVgg Greuther Fürth,1300000
Bundesliga,TSG 1899 Hoffenheim,0
Bundesliga,VfB Stuttgart,15350000
Bundesliga,VfL Bochum,0
Bundesliga,VfL Wolfsburg,52500000
La Liga,Athletic Bilbao,0
La Liga,Atlético de Madrid,71000000
La Liga,CA Osasuna,8700000
La Liga,Cádiz CF,6600000
La Liga,Celta de Vigo,8600000
La Liga,Deportivo Alavés,1150000
La Liga,Elche CF,7200000
La Liga,FC Barcelona,14500000
La Liga,Getafe CF,15500000
La Liga,Granada CF,4500000
La Liga,Levante UD,1250000
La Liga,Rayo Vallecano,4300000
La Liga,RCD Espanyol Barcelona,5500000
La Liga,RCD Mallorca,9500000
La Liga,Real Betis Balompié,3500000
La Liga,Real Madrid,31000000
La Liga,Real Sociedad,2500000
La Liga,Sevilla FC,38500000
La Liga,Valencia CF,11200000
La Liga,Villarreal CF,54500000
Ligue 1,AS Monaco,34500000
Ligue 1,AS Saint-Étienne,300000
Ligue 1,Clermont Foot 63,0
Ligue 1,ESTAC Troyes,18100000
Ligue 1,FC Girondins Bordeaux,8800000
Ligue 1,FC Lorient,6000000
Ligue 1,FC Metz,0
Ligue 1,FC Nantes,7500000
Ligue 1,LOSC Lille,13000000
Ligue 1,Montpellier HSC,200000
Ligue 1,OGC Nice,48000000
Ligue 1,Olympique Lyon,6500000
Ligue 1,Olympique Marseille,60620000
Ligue 1,Paris Saint-Germain,83000000
Ligue 1,RC Lens,16100000
Ligue 1,RC Strasbourg Alsace,3000000
Ligue 1,SCO Angers,0
Ligue 1,Stade Brestois 29,9500000
Ligue 1,Stade Reims,6000000
Ligue 1,Stade Rennais FC,79500000
Premier League,Arsenal FC,165600000
Premier League,Aston Villa,99820000
Premier League,Brentford FC,38200000
Premier League,Brighton & Hove Albion,55700000
Premier League,Burnley FC,31900000
Premier League,Chelsea FC,120000000
Premier League,Crystal Palace,73440000
Premier League,Everton FC,2000000
Premier League,Leeds United,58900000
Premier League,Leicester City,67600000
Premier League,Liverpool FC,40000000
Premier League,Manchester City,127500000
Premier League,Manchester United,140000000
Premier League,Newcastle United,29400000
Premier League,Norwich City,66150000
Premier League,Southampton FC,43100000
Premier League,Tottenham Hotspur,66900000
Premier League,Watford FC,25800000
Premier League,West Ham United,74500000
Premier League,Wolverhampton Wanderers,32300000
Serie A,AC Milan,73600000
Serie A,ACF Fiorentina,30500000
Serie A,AS Roma,124250000
Serie A,Atalanta BC,68000000
Serie A,Bologna FC 1909,26410000
Serie A,Cagliari Calcio,14000000
Serie A,FC Empoli,9800000
Serie A,Genoa CFC,20800000
Serie A,Hellas Verona,33500000
Serie A,Inter Milan,36000000
Serie A,Juventus FC,30900000
Serie A,Spezia Calcio,24300000
Serie A,SS Lazio,12760000
Serie A,SSC Napoli,19600000
Serie A,Torino FC,9400000
Serie A,UC Sampdoria,14500000
Serie A,Udinese Calcio,9300000
Serie A,US Salernitana 1919,3300000
Serie A,US Sassuolo,30750000
Serie A,Venezia FC,17090000
