league,window,team_id,team_name,team_country,player_id,player_name,player_age,player_nation,player_pos,counter_team_id,counter_team_name,counter_team_country,transfer_fee_amnt,market_val_amnt,is_free,is_loan
Premier League,s,11,Arsenal FC,England,335721,Ben White,23,England,CB,1237,Brighton & Hove Albion,England,58500000.00,40000000,FALSE,FALSE
Premier League,s,11,Arsenal FC,England,316264,Martin Ødegaard,22,Norway,AM,418,Real Madrid,Spain,35000000.00,40000000,FALSE,FALSE
Premier League,s,11,Arsenal FC,England,427568,Aaron Ramsdale,23,England,GK,350,Sheffield United,England,28000000.00,20000000,FALSE,FALSE
Premier League,s,11,Arsenal FC,England,331560,Takehiro Tomiyasu,22,Japan,RB,1025,Bologna FC 1909,Italy,18600000.00,20000000,FALSE,FALSE
Premier League,s,11,Arsenal FC,England,381967,Albert Sambi Lokonga,21,Belgium,CM,58,RSC Anderlecht,Belgium,17500000.00,16000000,FALSE,FALSE
Premier League,s,11,Arsenal FC,England,535955,Nuno Tavares,21,Portugal,LB,294,SL Benfica,Portugal,8000000.00,7000000,FALSE,FALSE
Premier League,s,405,Aston Villa,England,321247,Emiliano Buendía,24,Argentina,RW,1123,Norwich City,England,38400000.00,35000000,FALSE,FALSE
Premier League,s,405,Aston Villa,England,387626,Leon Bailey,23,Jamaica,LW,15,Bayer 04 Leverkusen,Germany,32000000.00,35000000,FALSE,FALSE
Premier League,s,405,Aston Villa,England,134294,Danny Ings,29,England,CF,180,Southampton FC,England,29420000.00,22000000,FALSE,FALSE
Premier League,s,405,Aston Villa,England,14086,Ashley Young,35,England,LB,46,Inter Milan,Italy,0.00,1000000,TRUE,FALSE
Premier League,s,405,Aston Villa,England,342046,Axel Tuanzebe,23,England,CB,985,Manchester United,England,,8000000,FALSE,TRUE
Premier League,s,405,Aston Villa,England,533662,Cameron Archer,19,England,CF,12124,Aston Villa U23,England,,300000,FALSE,FALSE
Premier League,s,405,Aston Villa,England,665390,Jaden Philogene-Bidace,19,England,LW,12124,Aston Villa U23,England,,500000,FALSE,FALSE
Premier League,s,405,Aston Villa,England,659459,Carney Chukwuemeka,17,England,CM,12124,Aston Villa U23,England,,2500000,FALSE,FALSE
Premier League,s,1148,Brentford FC,England,328658,Kristoffer Ajer,23,Norway,CB,371,Celtic FC,Scotland,15700000.00,17000000,FALSE,FALSE
Premier League,s,1148,Brentford FC,England,388165,Yoane Wissa,24,DR Congo,LW,1158,FC Lorient,France,10000000.00,10000000,FALSE,FALSE
Premier League,s,1148,Brentford FC,England,421637,Frank Onyeka,23,Nigeria,CM,865,FC Midtjylland,Denmark,10000000.00,9000000,FALSE,FALSE
Premier League,s,1148,Brentford FC,England,587002,Myles Peart-Harris,18,England,AM,9250,Chelsea FC U23,England,1500000.00,1000000,FALSE,FALSE
Premier League,s,1148,Brentford FC,England,453704,Álvaro Fernández,23,Spain,GK,5358,SD Huesca,Spain,1000000.00,4000000,FALSE,TRUE
Premier League,s,1148,Brentford FC,England,52059,Zanka,31,Denmark,CB,515,Without Club,Without Club,,1500000,FALSE,FALSE
Premier League,s,1148,Brentford FC,England,462832,Mads Bidstrup,20,Denmark,CM,54704,Brentford FC B,England,,900000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,490307,Enock Mwepu,23,Zambia,CM,409,Red Bull Salzburg,Austria,23000000.00,20000000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,284857,Marc Cucurella,23,Spain,LM,3709,Getafe CF,Spain,18000000.00,20000000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,776798,Abdallah Sima,20,Senegal,RW,62,SK Slavia Prague,Czech Republic,6700000.00,11000000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,463527,Kjell Scherpen,21,Netherlands,GK,610,Ajax Amsterdam,Netherlands,5000000.00,2800000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,504849,Kaoru Mitoma,24,Japan,LW,9598,Kawasaki Frontale,Japan,3000000.00,1800000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,533523,Haydon Roberts,19,England,CB,39336,Brighton & Hove Albion U23,England,,500000,FALSE,FALSE
Premier League,s,1237,Brighton & Hove Albion,England,484551,Taylor Richards,20,England,AM,39336,Brighton & Hove Albion U23,England,,400000,FALSE,FALSE
Premier League,s,1132,Burnley FC,England,234781,Maxwel Cornet,24,Cote d'Ivoire,LW,1041,Olympique Lyon,France,15000000.00,12000000,FALSE,FALSE
Premier League,s,1132,Burnley FC,England,469050,Nathan Collins,20,Ireland,CB,512,Stoke City,England,14000000.00,8000000,FALSE,FALSE
Premier League,s,1132,Burnley FC,England,214666,Connor Roberts,25,Wales,RB,2288,Swansea City,England,2900000.00,4500000,FALSE,FALSE
Premier League,s,1132,Burnley FC,England,45494,Wayne Hennessey,34,Wales,GK,873,Crystal Palace,England,0.00,1000000,TRUE,FALSE
Premier League,s,1132,Burnley FC,England,14221,Aaron Lennon,34,England,RW,3205,Kayserispor,Turkey,0.00,1100000,TRUE,FALSE
